t_offset_s,vibration_g,current_a,pressure_bar,temp_motor_c,temp_fluid_c,flow_lpm,label
0,0.2506,2.3981,0.3826,85.3416,29.2589,17.4493,
1,0.2629,0.9021,0.3826,85.5524,29.2589,47.1707,
2,0.2642,2.5052,0.3826,85.482,29.2652,31.7095,
3,0.2575,2.4201,0.0547,85.5538,29.2609,0.5564,
4,0.2578,2.9894,0.0547,85.8142,29.2691,0.8309,
5,0.2561,2.4927,0.3826,85.7081,29.285,22.4418,
6,0.2624,2.0016,0.0547,85.5473,29.2771,44.9609,
7,0.2601,1.0842,0.0547,85.5808,29.2938,29.8116,
8,0.2602,2.9451,0.3826,85.5697,29.3049,6.1203,
9,0.2557,2.7043,0.0547,85.6977,29.308,0.8309,
10,0.2538,1.8707,0.0547,85.5635,29.3093,41.5498,
11,0.2631,2.8087,-0.2732,85.803,29.3081,38.4828,
12,0.2622,2.6106,0.3826,85.4999,29.3164,17.8239,
13,0.2598,2.6379,0.0547,85.6133,29.3146,0.5564,
14,0.2513,0.9307,0.0547,85.5392,29.3372,4.1546,
15,0.258,2.6664,0.0547,85.5211,29.3386,49.9328,
16,0.2598,2.1018,0.0547,85.5822,29.3386,41.1716,
17,0.2637,2.5885,-0.2732,85.862,29.3451,16.1353,
18,0.2587,2.6892,0.3826,85.9267,29.355,44.8697,
19,0.2633,2.7814,0.0547,85.7917,29.3391,36.061,
20,0.2624,2.5605,0.0547,85.7197,29.3391,13.3792,
21,0.2653,2.8649,0.0547,85.6156,29.3512,0.5564,
22,0.2579,3.0,0.3826,85.8045,29.3638,11.6329,
23,0.2583,2.7575,0.3826,85.7575,29.3644,49.6393,
24,0.2671,2.196,0.3826,85.0245,29.3574,35.417,
25,0.2606,2.1664,0.0547,85.464,29.3704,8.9409,
26,0.263,2.4572,0.0547,85.3587,29.3704,0.5564,
27,0.2546,2.37,-0.2732,85.4954,29.3783,16.6184,
28,0.2594,1.8752,-0.2732,85.0179,29.3797,31.1729,
29,0.2627,2.621,0.0547,85.209,29.3767,5.5639,
30,0.2521,2.4877,0.0547,85.0339,29.3935,2.4928,
31,0.2627,3.0013,-0.2732,85.2624,29.3901,55.6967,
32,0.2649,2.8662,0.0547,85.3015,29.3958,40.1667,
33,0.2593,2.6962,0.0547,85.4574,29.3927,10.8426,
34,0.2629,2.576,0.0547,85.142,29.3979,2.9034,
35,0.2607,2.8392,0.3826,85.2538,29.3945,0.5564,
36,0.2564,2.6101,0.0547,85.1607,29.401,3.3237,
37,0.2601,2.4924,0.0547,85.181,29.3923,50.735,
38,0.2659,2.3431,-0.2732,85.0916,29.3914,38.9506,
39,0.2621,0.9289,0.7106,85.1549,29.3996,12.797,
40,0.2579,2.5677,0.0547,85.1271,29.3858,0.8309,
41,0.2604,2.3058,0.0547,85.1786,29.3858,29.9183,
42,0.2598,0.9343,0.0547,85.1899,29.3899,45.3754,
43,0.2599,2.6384,0.0547,85.1802,29.3842,27.5779,
44,0.2626,2.3505,0.0547,85.0841,29.3899,2.9034,
45,0.2578,2.4015,0.0547,85.1941,29.3746,29.9132,
46,0.2597,2.333,0.0547,85.1525,29.3723,43.8903,
47,0.2635,0.9249,0.0547,85.1598,29.3542,27.7017,
48,0.2598,2.2939,-0.2732,85.2684,29.3501,6.1203,
49,0.2547,2.5015,-0.2732,85.0672,29.3473,4.1546,
50,0.2585,2.488,-0.2732,85.3109,29.3473,50.7625,
51,0.2647,2.5742,0.3826,85.3971,29.3388,38.5497,
52,0.2601,2.3225,0.0547,85.4826,29.3447,12.2406,
53,0.2535,1.7416,0.0547,85.5795,29.3299,14.1257,
54,0.2617,2.2478,0.0547,85.371,29.334,53.2041,
55,0.2674,2.6054,0.0547,85.6669,29.334,4.5263,
56,0.2597,2.1255,0.3826,85.5424,29.3294,0.5562,
57,0.2562,2.4415,0.0547,85.2772,29.3176,0.8311,
58,0.2556,2.2721,0.0547,85.6753,29.3223,26.6,
59,0.2594,1.9299,0.0547,85.5973,29.3248,52.1631,
60,0.2654,2.9781,0.0547,85.4371,29.3184,34.0637,
61,0.2626,2.6345,0.0547,85.6831,29.3194,6.1179,
62,0.2509,2.7186,0.0547,85.5951,29.325,12.466,
63,0.2646,1.6771,0.3826,85.5885,29.325,49.7377,
64,0.2621,2.6308,0.0547,85.5309,29.3157,33.6557,
65,0.262,1.3669,0.0547,85.6118,29.3289,5.0055,
66,0.2601,1.909,0.0547,85.6237,29.3404,50.6519,
67,0.2628,1.8147,0.0547,85.5524,29.3404,35.0756,
68,0.2651,2.3045,0.0547,85.6651,29.3418,7.2302,
69,0.2557,3.197,-0.2732,85.7321,29.3416,1.6621,
70,0.2641,1.3433,0.3826,85.7062,29.3401,43.2298,
71,0.2629,1.8724,0.0547,85.8114,29.3425,33.7788,
72,0.2614,2.8205,0.3826,85.6104,29.3292,11.6796,
73,0.2566,2.9994,0.3826,85.5619,29.3205,20.7767,
74,0.26,2.6627,0.0547,85.9694,29.3263,50.9663,
75,0.2612,2.7842,0.7106,85.2609,29.3176,33.3258,
76,0.2633,1.7286,-0.2732,85.8055,29.3207,3.8932,
77,0.2618,2.7473,0.0547,85.7691,29.3073,0.8311,
78,0.2538,2.7927,0.0547,85.4391,29.3073,23.2765,
79,0.2641,2.6407,-0.6011,85.3434,29.2997,45.1548,
80,0.2645,1.8698,0.3826,85.7495,29.3043,28.4741,
81,0.2607,1.7436,0.0547,86.0243,29.2996,1.6685,
82,0.2542,1.7905,0.0547,85.8974,29.282,4.9864,
83,0.2628,2.6731,-0.6011,85.3306,29.2708,49.9756,
84,0.2626,2.5827,0.3826,85.4253,29.2761,35.3404,
85,0.2632,2.5677,0.3826,85.619,29.2761,7.7864,
86,0.2571,2.7601,0.0547,85.2382,29.2689,0.8311,
87,0.2561,2.6837,0.0547,85.0839,29.2667,9.9883,
88,0.2548,2.8023,0.0547,85.2465,29.2643,49.4851,
89,0.2653,2.5635,0.0547,85.2836,29.2526,40.2275,
90,0.2607,2.3834,0.3826,85.0745,29.2541,3.337,
91,0.2526,3.1686,0.0547,85.287,29.244,0.8311,
92,0.2574,2.575,0.3826,85.1531,29.2467,33.2474,
93,0.2619,2.7219,0.0547,85.2518,29.2332,39.312,
94,0.2635,0.9826,0.3826,85.3014,29.2331,21.9439,
95,0.2653,2.4699,0.0547,85.2987,29.2279,2.2247,
96,0.2512,2.2403,0.0547,85.257,29.2285,1.6621,
97,0.2589,1.8632,0.0547,85.2181,29.2285,54.8618,
98,0.259,2.7942,-0.2732,85.1675,29.2209,43.0224,
99,0.262,2.5889,0.3826,85.1914,29.2219,15.2222,
100,0.2693,2.8481,0.3826,85.1869,29.2137,1.6685,
101,0.2636,1.7761,0.3826,85.188,29.2133,0.5562,
102,0.2527,2.511,0.0547,85.1055,29.2176,0.8311,
103,0.2585,2.5051,0.0547,85.1138,29.2176,35.7402,
104,0.2607,2.0474,0.7106,85.2282,29.2224,38.9548,
105,0.2598,2.6378,0.3826,85.2731,29.217,20.9937,
106,0.2638,1.8781,-0.2732,85.04,29.2207,2.7809,
107,0.2539,1.153,0.0547,85.4313,29.2145,0.8311,
108,0.2596,2.7467,0.0547,85.6346,29.2145,56.5154,
109,0.2627,3.1188,0.0547,85.5695,29.2172,42.0073,
110,0.2636,3.0248,0.0547,85.4695,29.2224,12.2358,
111,0.2571,3.0726,0.0547,85.7708,29.2278,2.4932,
112,0.2639,2.6833,0.0547,85.8351,29.2279,34.6668,
113,0.2663,1.9072,0.0547,85.6034,29.2327,13.0326,
114,0.2616,2.6096,0.0547,85.5953,29.2327,1.6685,
115,0.2513,2.0781,0.0547,85.928,29.2242,14.9592,
116,0.2631,1.8005,0.0547,85.6973,29.2209,54.1223,
117,0.2611,1.6956,0.0547,85.581,29.228,36.9656,
118,0.2607,2.672,0.0547,85.6441,29.217,6.6741,
119,0.2546,1.8843,0.0547,85.6884,29.2161,0.8311,
120,0.2579,1.7107,0.0547,85.6597,29.2148,40.7261,
121,0.2602,2.1484,0.0547,85.7362,29.2097,34.7791,
122,0.2655,2.6375,0.0547,85.7914,29.208,14.4843,
123,0.2595,2.5584,0.0547,85.7563,29.2165,0.5562,
124,0.255,1.2998,0.0547,85.8219,29.2172,5.8175,
125,0.2643,2.4718,0.0547,85.6058,29.2131,36.9576,
126,0.2599,2.123,0.7106,85.9626,29.2146,9.0526,
127,0.2594,2.3052,0.0547,85.7108,29.2128,1.1123,
128,0.2586,2.6788,0.0547,85.8568,29.2165,30.7495,
129,0.2606,1.8627,0.0547,85.8294,29.2148,45.6265,
130,0.2627,1.8691,0.3826,85.8581,29.2095,27.265,
131,0.2641,2.6605,0.0547,85.6591,29.2149,1.0,
132,0.2646,1.2132,0.0547,85.8267,29.2149,0.5562,
133,0.2528,3.0632,0.0547,85.7924,29.2186,7.4796,
134,0.2568,2.5522,-0.2732,85.7919,29.2149,50.1147,
135,0.264,1.9625,0.0547,85.6505,29.21,41.1635,
136,0.2619,3.1403,0.7106,85.8041,29.2227,16.1504,
137,0.2653,2.0066,0.7106,85.8463,29.2227,0.5562,
138,0.2611,1.1145,0.0547,85.9955,29.2056,2.4932,
139,0.2588,3.154,0.0547,85.6407,29.2214,44.9087,
140,0.2679,2.3636,0.0547,85.7913,29.218,37.4899,
141,0.2654,1.1646,0.0547,86.0346,29.2261,15.0396,
142,0.2608,2.1564,-0.2732,86.049,29.2334,0.5562,
143,0.2605,2.9553,-0.2732,85.7631,29.2384,0.8311,
144,0.2552,2.6695,0.0547,85.1267,29.2442,29.0927,
145,0.266,2.8779,0.0547,85.4229,29.2442,46.6408,
146,0.2619,2.6323,0.0547,85.469,29.244,28.4741,
147,0.2615,2.638,0.0547,86.1715,29.2488,1.6685,
148,0.2564,2.6716,0.0547,85.6723,29.266,0.8311,
149,0.2572,3.048,0.3826,85.9192,29.2712,22.4457,
150,0.2594,2.2299,-0.2732,85.7694,29.2758,40.3003,
151,0.2659,2.9844,-0.2732,85.9055,29.2758,5.2743,
152,0.2615,2.0706,0.0547,85.8054,29.2732,1.1123,
153,0.2578,2.7909,0.3826,85.157,29.2798,6.6485,
154,0.2615,2.7537,0.0547,85.2708,29.2703,59.1733,
155,0.2699,2.7464,0.0547,85.4589,29.2814,40.9394,
156,0.2662,2.5343,0.3826,85.2574,29.2883,7.2302,
157,0.2554,2.6029,0.0547,85.2247,29.2919,0.8311,
158,0.2579,3.0692,-0.6011,84.9985,29.2792,26.6,
159,0.2596,2.8992,-0.2732,85.1117,29.2815,42.9238,
160,0.2671,0.9101,-0.2732,85.2885,29.292,27.1891,
161,0.2614,2.2227,0.0547,85.4184,29.2881,5.0055,
162,0.2545,0.9229,0.0547,85.1976,29.2788,6.6485,
163,0.2705,2.4895,0.0547,85.373,29.2788,49.2345,
164,0.2637,2.2753,0.0547,85.3535,29.272,34.8158,
165,0.2522,2.0402,0.0547,85.2073,29.2514,15.7903,
166,0.2431,2.6017,0.3826,85.3081,29.2484,70.605,
167,0.2415,2.0103,0.3826,85.4302,29.2516,99.7147,
168,0.2406,1.9898,-0.2732,85.1827,29.2516,112.293,
169,0.238,2.1882,0.3826,85.1844,29.2545,117.08,
170,0.2378,2.1739,0.0547,85.2762,29.2474,120.08,
171,0.2383,2.7191,0.0547,85.1932,29.2545,120.31,
172,0.2397,1.7084,-0.2732,85.1115,29.2527,119.31,
173,0.2392,1.8698,0.3826,85.1127,29.2453,119.692,
174,0.2399,2.2693,0.3826,85.2453,29.2456,120.692,
175,0.2449,2.7181,-0.2732,85.0399,29.2487,119.622,
176,0.2401,2.1104,0.3826,85.1268,29.2571,119.692,
177,0.2385,2.9201,0.3826,85.4329,29.2571,120.0,
178,0.2371,3.0599,0.3826,85.0839,29.2471,120.0,
179,0.2426,2.2272,0.3826,85.0013,29.2406,120.692,
180,0.2422,2.1543,0.0547,85.2338,29.237,120.0,
181,0.2391,2.6789,0.0547,85.4258,29.2255,121.385,
182,0.237,2.3508,0.0547,85.5338,29.2158,120.622,
183,0.2407,2.3524,-0.2732,85.0726,29.2269,120.692,
184,0.2421,2.8488,0.0547,85.005,29.2053,121.0,
185,0.2418,2.5794,0.0547,85.0786,29.2053,120.31,
186,0.2374,2.788,0.0547,85.5979,29.2129,120.0,
187,0.2431,2.6249,-0.2732,85.4412,29.1953,120.0,
188,0.2422,1.3049,0.0547,85.4599,29.1968,120.692,
189,0.2412,2.6728,0.0547,85.7342,29.1815,120.31,
190,0.2398,2.9984,0.3826,85.1071,29.1731,120.0,
191,0.2406,1.0914,0.0547,85.4923,29.1666,120.0,
192,0.2427,3.056,0.0547,85.6896,29.1694,119.31,
193,0.2428,2.1114,0.0547,85.5577,29.1549,119.692,
194,0.2405,1.1779,0.0547,85.6472,29.1549,120.0,
195,0.2406,2.5926,0.3826,85.5377,29.157,120.0,
196,0.2451,3.0598,0.0547,85.7945,29.1517,120.0,
197,0.2397,2.4993,-0.2732,85.5864,29.1448,120.692,
198,0.2432,2.7461,-0.6011,85.6129,29.1399,121.0,
199,0.2453,2.5123,0.0547,85.6293,29.1327,120.31,
200,0.2448,1.4146,0.0547,85.6878,29.1426,120.0,
201,0.2461,2.2864,-0.2732,85.8082,29.145,120.692,
202,0.2408,1.1369,-0.2732,85.6396,29.145,121.0,
203,0.2436,2.0931,0.3826,85.376,29.1465,121.0,
204,0.2444,2.3756,0.0547,85.7369,29.1417,121.692,
205,0.2428,2.4288,0.0547,85.7507,29.1445,121.31,
206,0.2453,2.546,0.0547,85.6257,29.1451,121.692,
207,0.2439,3.1877,0.0547,85.7262,29.1426,122.0,
208,0.2434,2.0494,0.3826,85.7883,29.1486,121.31,
209,0.244,1.7382,0.3826,85.7438,29.1486,121.692,
210,0.2437,1.5557,0.0547,85.7168,29.1507,121.31,
211,0.2459,2.0417,0.0547,85.7055,29.1468,120.31,
212,0.2416,1.8254,1.3664,85.6187,29.1578,120.692,
213,0.2441,1.5353,0.3826,85.7527,29.1559,121.0,
214,0.2404,1.7089,0.0547,86.1113,29.1542,121.692,
215,0.2418,2.7882,0.0547,85.8532,29.1481,121.31,
216,0.2437,2.349,0.7106,85.8654,29.1501,121.0,
217,0.2397,1.7017,0.7106,85.7638,29.1501,121.0,
218,0.2431,2.9556,0.0547,85.7439,29.155,121.0,
