t_offset_s,vibration_g,current_a,pressure_bar,temp_motor_c,temp_fluid_c,flow_lpm,label
0,0.0276,1.2905,0.0547,68.6194,24.367,32.0362,
1,0.0272,1.2856,0.3826,68.5923,24.366,32.9649,
2,0.0277,1.1559,0.0547,68.5207,24.3666,32.0362,
3,0.028,0.9713,0.3826,68.5425,24.3634,32.9649,
4,0.0276,1.0725,-0.2732,68.6569,24.3639,32.0,
5,0.0275,1.0651,0.0547,68.6015,24.3651,32.0362,
6,0.0273,1.3103,0.3826,68.5455,24.3683,32.9649,
7,0.0279,0.5892,0.3826,68.5092,24.3666,32.0,
8,0.0279,1.3371,0.0547,68.662,24.3692,32.0362,
9,0.0273,1.0206,0.3826,68.4766,24.3696,32.9649,
10,0.027,1.0604,-0.2732,68.6106,24.3512,32.9649,
11,0.0277,0.9439,0.3826,68.5509,24.3607,32.0362,
12,0.0274,1.4075,0.0547,68.6542,24.3564,32.9649,
13,0.0271,0.9324,-0.2732,68.5205,24.3631,32.0,
14,0.0272,1.3045,0.0547,68.653,24.3605,32.0,
15,0.0272,1.1565,0.0547,68.6864,24.3615,32.0362,
16,0.0274,1.1317,0.0547,68.7893,24.3609,32.9649,
17,0.0274,1.5433,-0.2732,68.6711,24.3592,32.0362,
18,0.0271,1.0861,-0.2732,68.6966,24.3592,32.9649,
19,0.0272,1.2121,0.0547,68.7529,24.3574,32.0362,
20,0.027,1.0025,-0.6011,68.6255,24.3645,32.9649,
21,0.0271,1.469,0.0547,68.6488,24.3542,32.0362,
22,0.0272,1.2024,0.0547,69.0076,24.3672,32.9649,
23,0.0271,1.2557,0.0547,68.7446,24.3527,32.0362,
24,0.0272,1.1887,-0.6011,68.7153,24.3721,32.9649,
25,0.0272,1.0537,-0.6011,69.152,24.3721,32.0362,
26,0.0275,1.0372,0.0547,68.6737,24.3649,32.0,
27,0.0272,1.0097,0.0547,68.799,24.3698,32.0362,
28,0.0273,1.1359,-0.2732,68.8572,24.3711,32.9649,
29,0.0273,1.4436,0.3826,68.868,24.3647,32.0362,
30,0.0271,1.0603,0.3826,68.8732,24.3666,32.9649,
31,0.0278,1.459,0.0547,68.7283,24.3544,32.0,
32,0.0271,0.755,0.0547,68.8446,24.3544,32.0,
33,0.0275,1.1403,0.0547,68.7033,24.3683,32.0362,
34,0.0269,1.1907,0.0547,68.9361,24.3678,32.9649,
35,0.0274,1.202,0.0547,69.1491,24.3616,32.0,
36,0.0278,0.9426,0.3826,69.1049,24.3674,32.0362,
37,0.0273,0.9355,0.0547,69.1428,24.3603,32.9649,
38,0.0271,0.9267,0.0547,68.9503,24.3607,32.0,
39,0.0273,0.9294,-0.2732,69.1788,24.3567,32.9649,
40,0.0278,0.8875,-0.2732,68.8962,24.359,32.0362,
41,0.0273,0.9324,-0.2732,68.9637,24.3649,32.9649,
42,0.0272,1.0451,0.0547,68.8477,24.3685,32.0,
43,0.0277,1.2314,-0.2732,68.9124,24.3681,32.0362,
44,0.0276,1.2221,-0.2732,69.0688,24.3651,32.9649,
45,0.0279,0.9651,0.0547,68.9651,24.3633,32.0362,
46,0.0272,0.9131,0.0547,69.0114,24.3594,32.9649,
47,0.0271,0.4664,0.7106,69.0214,24.3685,32.0,
48,0.0276,1.2209,0.0547,68.9837,24.3629,32.0362,
49,0.0277,0.9244,0.0547,69.1563,24.3654,33.0,
50,0.028,1.0271,0.0547,69.0658,24.3703,32.9649,
51,0.0272,0.6579,0.0547,69.1753,24.3711,32.0364,
52,0.0275,0.4913,0.0547,69.1195,24.3711,32.9646,
53,0.0277,0.5893,0.0547,69.0402,24.3616,32.0,
54,0.0278,1.2385,0.0547,69.068,24.3684,32.0364,
55,0.0272,0.4492,0.0547,69.03,24.363,32.9646,
56,0.0276,0.5706,0.0547,69.1137,24.3645,32.0364,
57,0.0278,0.6267,0.0547,69.1293,24.3659,32.9646,
58,0.0278,0.8193,0.0547,69.1618,24.3659,32.0,
59,0.0277,0.7898,0.0547,69.1449,24.3617,32.0,
60,0.0273,0.9326,0.0547,69.1578,24.3617,32.0364,
61,0.0278,0.6148,0.0547,69.0576,24.3643,32.9646,
62,0.0279,0.8971,0.3826,69.2278,24.3698,32.0,
63,0.0276,0.7844,0.3826,69.177,24.3675,32.0,
64,0.0276,0.8985,0.0547,69.1869,24.3675,32.0364,
65,0.0273,0.4367,-0.2732,69.2123,24.3619,32.9646,
66,0.028,0.6376,-0.2732,69.125,24.3601,32.0364,
67,0.0279,0.5518,0.3826,69.1459,24.3651,32.9646,
68,0.0277,0.7209,-0.6011,69.1433,24.3738,32.0,
69,0.0277,0.6312,-0.2732,69.0392,24.3601,32.0,
70,0.0272,0.6229,0.0547,69.1348,24.3677,32.0364,
71,0.0276,0.9528,-0.2732,69.15,24.3619,32.0,
72,0.0274,0.5959,-0.2732,69.0361,24.3611,32.0364,
73,0.0277,0.8266,0.3826,69.2022,24.3669,32.9646,
74,0.0273,0.724,0.0547,69.2036,24.3637,32.0,
75,0.0273,0.7829,0.3826,69.0712,24.3662,32.0364,
76,0.0277,0.681,-0.2732,69.1205,24.3628,33.0,
77,0.0276,0.8349,0.0547,69.1785,24.3599,33.0,
78,0.0277,0.6795,0.0547,69.2372,24.3599,32.9646,
79,0.0269,0.6856,-0.2732,69.0936,24.3657,32.0,
80,0.027,0.6631,-0.2732,69.1507,24.3549,32.0364,
81,0.0277,0.7455,0.0547,69.2336,24.3618,32.9646,
82,0.0272,0.7705,0.0547,69.2593,24.3643,32.0364,
83,0.0278,0.6204,0.0547,69.2291,24.3551,32.9646,
84,0.0269,0.7757,0.0547,69.2982,24.3527,32.0364,
85,0.0272,0.6371,0.7106,69.155,24.3565,32.9646,
86,0.0278,0.8877,0.0547,69.0903,24.3626,32.0,
87,0.0276,0.7841,0.0547,69.1716,24.3509,32.0,
88,0.0275,0.8565,0.0547,69.2894,24.3568,32.0,
89,0.0275,1.4391,0.0547,69.3479,24.3491,33.0,
90,0.0279,1.2511,0.0547,69.1859,24.351,32.9646,
91,0.0279,0.8363,-0.6011,69.2776,24.3617,32.0364,
92,0.0275,0.5839,-0.6011,69.144,24.349,32.9646,
93,0.0276,0.5626,0.0547,69.2327,24.3511,32.0364,
94,0.0275,1.4967,0.0547,69.3499,24.3478,32.9646,
95,0.0281,0.9072,0.0547,69.4054,24.3497,32.0,
96,0.0279,0.9771,0.0547,69.3641,24.346,32.0364,
97,0.0273,0.8306,-0.2732,69.3033,24.3489,32.9646,
98,0.0273,0.8208,0.0547,69.4041,24.3465,32.0364,
99,0.0273,1.5037,0.3826,69.2403,24.3482,32.9646,
100,0.028,1.0497,0.0547,69.3806,24.3509,32.0,
101,0.0275,1.0474,0.0547,69.3784,24.3442,32.0,
102,0.0274,0.7662,-0.6011,69.328,24.3422,32.0364,
103,0.0272,1.051,0.0547,69.3469,24.3413,32.9646,
104,0.0279,1.2538,0.0547,69.4294,24.3442,32.0,
105,0.0276,0.6796,-0.2732,69.2317,24.3402,32.0,
106,0.0269,0.7257,0.3826,69.3676,24.3405,32.0,
107,0.0273,1.0998,0.0547,69.4793,24.3419,32.0,
108,0.0273,0.7869,0.0547,69.4759,24.3446,32.0,
109,0.0278,0.8066,-0.2732,69.4122,24.3253,32.0364,
110,0.0278,1.2073,0.0547,69.4091,24.3363,32.9646,
111,0.0273,1.3513,0.0547,69.3095,24.3349,32.0364,
112,0.0273,1.1605,-0.2732,69.3513,24.3358,32.9646,
113,0.0277,1.0513,0.0547,69.3549,24.3376,32.0364,
114,0.0278,0.6296,0.0547,69.5259,24.3373,32.9646,
115,0.0277,1.1516,-0.6011,69.3058,24.3373,32.0364,
116,0.028,1.3025,-0.2732,69.4601,24.3298,32.9646,
117,0.0272,0.9898,-0.2732,69.1477,24.328,32.0364,
118,0.0277,0.988,0.0547,69.3821,24.3239,32.9646,
119,0.0275,1.3461,-0.2732,69.4491,24.3316,32.0364,
120,0.0279,1.193,-0.2732,69.4935,24.3318,32.9646,
121,0.0269,0.6729,0.3826,69.404,24.3249,32.0,
122,0.0271,1.2191,-0.2732,69.2687,24.3332,32.0364,
123,0.0278,1.35,0.0547,69.0427,24.3283,32.9646,
124,0.0274,0.6008,0.0547,69.0484,24.3402,32.0364,
125,0.0279,1.0724,0.0547,69.1994,24.3343,32.9646,
126,0.0272,1.2266,0.0547,69.1156,24.3312,32.0,
127,0.0274,1.3613,0.0547,69.1701,24.3357,32.0364,
128,0.0282,0.6033,0.0547,69.2564,24.3357,32.9646,
129,0.0276,0.4514,-0.2732,69.1925,24.3353,32.0,
130,0.0279,0.4675,0.0547,69.0637,24.3393,32.0364,
131,0.0274,0.8649,0.0547,69.1115,24.329,32.0,
132,0.0278,0.7515,-0.2732,69.2755,24.3297,32.0,
133,0.0276,0.7548,0.0547,69.1575,24.3407,32.0,
134,0.0277,0.6404,-0.2732,69.2733,24.3474,32.0,
135,0.0275,0.7256,-0.2732,69.3294,24.3474,32.0364,
136,0.0268,0.6024,0.0547,69.1392,24.3379,32.9646,
137,0.0276,0.6998,0.3826,69.2466,24.3453,32.0,
138,0.0276,0.5594,0.3826,69.2969,24.3453,32.0,
139,0.028,0.8744,0.0547,69.1885,24.3444,32.0364,
140,0.0275,0.8692,0.3826,69.2027,24.3458,32.9646,
141,0.0274,0.6196,0.0547,69.2366,24.3427,32.0364,
142,0.028,0.6586,0.3826,69.128,24.3527,32.9646,
143,0.0277,0.6401,0.0547,69.381,24.3404,32.0364,
144,0.0282,0.6255,0.0547,69.195,24.3402,32.9646,
145,0.0272,1.2129,0.0547,69.1103,24.3348,32.9646,
146,0.0276,1.1433,0.0547,69.2467,24.343,32.0364,
147,0.0274,1.012,0.0547,69.2676,24.3309,32.9646,
148,0.0276,1.1832,0.0547,69.1501,24.3429,32.0,
149,0.0273,1.0361,0.0547,69.1708,24.3361,32.0364,
150,0.027,1.1103,0.0547,69.17,24.3336,32.9646,
151,0.0276,1.1942,0.0547,69.317,24.3289,32.0364,
152,0.0273,1.2294,-0.2732,69.2109,24.338,32.9646,
153,0.0276,1.158,-0.2732,69.0773,24.3448,32.0,
154,0.0275,0.8228,0.3826,69.0623,24.3497,32.0,
155,0.0275,0.8916,0.0547,69.0742,24.3388,32.0364,
156,0.0276,0.8962,0.3826,69.1377,24.334,32.9646,
157,0.0278,1.3124,0.0547,69.0959,24.3401,32.0,
158,0.0275,1.067,0.0547,69.0801,24.3437,32.0,
159,0.0276,0.8985,0.0547,69.1221,24.3325,32.0,
160,0.0274,0.975,0.3826,69.1642,24.3394,32.0,
161,0.0276,1.2764,0.0547,69.1028,24.3512,32.0,
162,0.0275,1.26,0.0547,68.9972,24.3503,32.0,
163,0.0271,0.9318,0.0547,69.2417,24.3541,32.0364,
164,0.0276,1.3758,0.3826,69.0529,24.3491,32.9646,
165,0.0276,1.337,0.0547,69.0458,24.3581,32.0364,
166,0.0275,1.1927,0.3826,69.1555,24.3496,32.9646,
167,0.0276,1.0888,0.0547,69.0632,24.3532,32.0,
168,0.0271,1.0937,0.0547,69.1575,24.358,32.0,
169,0.0275,1.4709,0.0547,69.1555,24.3595,32.0364,
170,0.0275,1.0388,0.3826,69.0788,24.3547,32.9644,
171,0.0273,1.4259,0.0547,69.195,24.3555,32.0,
172,0.0276,1.0474,0.0547,69.0087,24.3602,32.0367,
173,0.0276,1.2442,0.0547,69.1186,24.3679,32.0367,
174,0.0273,1.2329,0.3826,69.1678,24.3631,32.9644,
175,0.0274,1.225,-0.2732,69.0527,24.3696,32.0,
176,0.0277,1.3104,0.0547,69.2824,24.3708,32.0,
177,0.0273,0.91,-0.2732,69.1416,24.3715,32.0367,
178,0.0276,1.2599,0.0547,69.1662,24.3677,32.9644,
179,0.0276,0.9949,-0.2732,69.3602,24.3654,32.0,
180,0.0278,0.8904,0.3826,69.2952,24.3607,32.0,
181,0.0278,0.8395,0.0547,69.0359,24.3741,32.0,
182,0.0272,1.4351,0.0547,69.2574,24.376,32.0367,
183,0.0279,1.3801,0.0547,69.2928,24.3687,32.9644,
184,0.028,1.178,0.0547,69.6793,24.3774,32.0367,
185,0.0276,0.7773,-0.2732,69.353,24.3789,32.9644,
186,0.0276,0.8468,0.0547,69.5057,24.3816,32.0367,
187,0.0275,1.173,0.0547,69.1751,24.3851,32.9299,
188,0.0277,0.8227,0.7106,69.1811,24.3806,31.0745,
189,0.0283,0.8633,-0.2732,69.376,24.3792,32.9644,
190,0.0277,1.2104,-0.2732,69.3946,24.3844,32.0,
191,0.0276,1.0654,0.0547,69.2795,24.3884,32.0367,
192,0.0273,1.1348,0.0547,69.5436,24.3819,32.0367,
193,0.0279,1.0182,0.0547,69.4571,24.3777,33.0,
194,0.0274,0.7161,-0.2732,69.524,24.3828,32.9644,
195,0.0275,0.5847,-0.6011,69.5779,24.3784,32.0,
196,0.0269,0.6578,-0.6011,69.6007,24.3892,32.0367,
197,0.0272,0.9265,-0.2732,69.4563,24.3936,32.9644,
198,0.0274,0.8082,0.3826,69.1618,24.3853,32.0,
199,0.0276,0.9689,0.0547,69.4158,24.4028,32.0367,
200,0.0274,1.0216,0.0547,69.5046,24.3935,33.0,
201,0.0271,1.2481,0.3826,69.4187,24.3933,32.9644,
202,0.0272,1.2564,0.3826,69.6092,24.3893,32.0,
203,0.0277,1.0637,0.3826,69.5224,24.3893,32.0,
204,0.0276,1.172,0.0547,69.4336,24.3939,32.0367,
205,0.0277,0.8561,0.0547,69.5134,24.3862,32.9644,
206,0.0272,0.8097,0.0547,69.5064,24.3924,32.0367,
207,0.0274,1.2025,0.0547,69.6554,24.3904,32.9644,
208,0.0279,0.6583,0.0547,69.5391,24.3875,32.0367,
209,0.0274,0.7182,0.0547,69.5702,24.3857,32.9644,
210,0.0273,0.7582,0.0547,69.6165,24.3736,32.0,
211,0.0273,0.686,0.3826,69.5129,24.3858,32.0367,
212,0.0277,0.5973,0.3826,69.4767,24.389,32.9644,
213,0.0277,0.6518,-0.6011,69.3977,24.3832,32.0,
214,0.0272,0.7037,-0.2732,69.4334,24.3817,32.0,
215,0.027,0.7618,0.0547,69.6309,24.3891,32.0367,
216,0.0271,0.6135,0.0547,69.4667,24.3962,33.0,
217,0.0277,0.4458,0.0547,69.5953,24.3979,32.9644,
218,0.0277,0.8247,0.3826,69.5754,24.3917,32.0,
219,0.0274,0.6645,0.0547,69.5273,24.3839,32.0367,
220,0.0277,0.5393,0.3826,69.3316,24.3842,32.0367,
221,0.0283,0.6194,0.0547,69.6527,24.3794,32.9644,
222,0.0277,1.0621,-0.2732,69.4356,24.3831,32.0367,
223,0.0275,0.6357,0.0547,69.5642,24.3719,32.9644,
224,0.0273,1.1425,0.0547,69.4699,24.3711,32.0,
225,0.0273,0.4177,0.3826,69.522,24.3745,32.0367,
226,0.0279,1.0525,-0.2732,69.5068,24.3687,32.9644,
227,0.0271,1.0561,0.0547,69.4931,24.3771,32.0,
228,0.0271,0.7474,0.0547,69.5227,24.3801,32.0367,
229,0.0272,1.375,0.0547,69.5241,24.3848,32.9644,
230,0.0272,0.7882,0.0547,69.6154,24.3658,32.0,
231,0.0277,1.4178,0.3826,69.6209,24.3727,32.0,
232,0.0276,0.844,0.0547,69.6574,24.3733,32.0,
233,0.0277,0.8776,0.7106,69.6847,24.3813,32.9644,
234,0.0275,0.985,0.0547,69.6141,24.3797,32.0367,
235,0.0278,1.2731,0.0547,69.669,24.3811,32.9644,
236,0.0278,1.0208,0.0547,69.7345,24.3704,32.0367,
237,0.0278,1.0295,0.0547,69.5216,24.3705,32.9644,
238,0.0276,1.246,0.0547,69.6124,24.3754,32.0367,
239,0.0272,1.3023,0.3826,69.8065,24.3765,32.9644,
240,0.0277,1.0786,-0.2732,69.5633,24.3636,32.0367,
241,0.0277,1.0704,-0.2732,69.6599,24.3721,33.0,
242,0.0275,1.394,0.0547,69.726,24.3574,32.9644,
243,0.027,1.1219,0.0547,69.5487,24.3648,32.0,
244,0.0273,1.3621,0.3826,69.6525,24.3666,32.0,
245,0.0273,1.1096,0.3826,69.7026,24.3709,32.0,
246,0.0277,1.3183,0.0547,69.6496,24.3709,32.0367,
247,0.027,1.2902,0.0547,69.7763,24.3642,33.0,
248,0.0274,1.5214,0.0547,69.5975,24.3727,32.0,
249,0.0276,1.2445,-0.2732,69.681,24.3612,32.0367,
250,0.0279,1.3689,0.0547,69.5658,24.3617,32.9644,
251,0.0272,1.4776,-0.2732,69.3945,24.3606,32.0367,
252,0.0275,1.2399,-0.2732,69.6879,24.3674,32.9644,
253,0.0275,1.2896,-0.2732,69.5997,24.3711,32.0,
254,0.0278,1.3391,0.0547,69.6974,24.3587,32.0367,
255,0.028,0.9503,0.0547,69.3965,24.3737,32.9644,
256,0.0272,1.38,0.3826,69.1954,24.3671,32.0,
257,0.0277,1.2478,0.0547,69.5651,24.3731,32.0,
258,0.0277,0.942,-0.2732,69.4488,24.3664,32.0,
259,0.0279,1.2405,0.0547,69.6316,24.362,32.0,
260,0.0271,1.4218,0.0547,69.2606,24.3711,32.9644,
261,0.0276,1.2914,-0.2732,69.5864,24.3711,32.0,
262,0.0277,1.2781,-0.2732,69.694,24.3711,32.0367,
263,0.0281,0.7233,0.0547,69.4341,24.3568,32.9644,
264,0.0275,1.2608,-0.2732,69.5404,24.3648,32.0,
265,0.0272,1.1421,-0.2732,69.6261,24.3587,32.0,
266,0.0276,1.2437,0.0547,69.4825,24.3633,32.0367,
267,0.0279,0.6959,-0.2732,69.2125,24.3572,32.9644,
268,0.0279,0.7885,0.0547,69.3381,24.3517,32.0,
269,0.0271,1.1246,-0.2732,69.3208,24.3488,32.0,
