t_offset_s,vibration_g,current_a,pressure_bar,temp_motor_c,temp_fluid_c,flow_lpm,label
0,0.0275,0.6735,0.0547,67.8345,24.3164,32.0,
1,0.028,0.7723,0.0547,67.8704,24.3279,32.0,
2,0.0284,0.6755,0.0547,67.7882,24.3261,32.0,
3,0.0276,0.5663,-0.2732,67.7918,24.3323,32.0,
4,0.0275,1.2922,0.0547,67.7368,24.325,32.0,
5,0.0273,0.7329,0.0547,67.893,24.3137,32.0384,
6,0.0278,0.7853,-0.2732,68.0941,24.3156,32.9627,
7,0.0278,1.0994,0.0547,67.7679,24.3201,32.0384,
8,0.0276,1.0913,0.0547,67.88,24.3159,32.9627,
9,0.0271,1.3134,0.0547,67.7604,24.3243,32.0,
10,0.0274,1.2144,-0.2732,68.0307,24.3237,32.0,
11,0.0277,0.76,0.0547,68.0285,24.3186,32.0,
12,0.0277,1.1275,-0.2732,67.9973,24.3158,32.0,
13,0.028,1.1002,-0.2732,67.8537,24.3254,32.0,
14,0.0272,1.0874,0.0547,67.9864,24.3138,32.0387,
15,0.0273,0.9904,0.0547,67.9943,24.3217,32.9625,
16,0.0282,1.148,0.7106,67.9336,24.3157,32.0,
17,0.0277,1.1385,0.0547,68.0258,24.3182,32.0,
18,0.0279,1.067,0.0547,68.0184,24.3192,32.0387,
19,0.0271,1.091,-0.2732,67.9747,24.3156,32.9625,
20,0.0277,1.0765,-0.2732,67.9827,24.3204,32.0,
21,0.0277,1.0891,0.0547,67.9605,24.314,32.0,
22,0.0285,1.0696,0.7106,68.0641,24.3152,32.0,
23,0.0276,1.156,0.3826,68.0207,24.3162,32.0,
24,0.0273,1.222,-0.2732,67.9127,24.3164,32.0387,
25,0.0276,0.9056,0.3826,68.0602,24.3228,32.9261,
26,0.0279,1.2968,0.0547,67.9491,24.3187,31.0785,
27,0.0286,1.1177,0.7106,68.0161,24.3137,32.9625,
28,0.0282,1.4311,0.3826,68.1273,24.3085,32.0,
29,0.0277,1.2039,0.3826,67.9198,24.3212,32.0387,
30,0.0277,1.2478,0.0547,68.0258,24.3137,33.0,
31,0.0277,1.4528,0.0547,67.9386,24.3124,32.9625,
32,0.0281,1.4309,-0.2732,67.6422,24.3161,32.0387,
33,0.0281,0.992,0.0547,67.7214,24.3229,32.9625,
34,0.0283,1.2531,-0.2732,68.1065,24.3204,32.0387,
35,0.0277,1.27,0.3826,67.6952,24.313,32.9625,
36,0.0283,1.4857,-0.2732,68.0127,24.3118,32.0,
37,0.0279,1.3719,0.0547,67.9097,24.316,32.0,
38,0.0282,1.2281,-0.2732,68.0883,24.3159,32.0,
39,0.0278,1.1498,0.3826,67.9744,24.3055,32.0,
40,0.0274,1.3072,-0.2732,68.2277,24.3045,32.0387,
41,0.028,0.5351,-0.2732,67.8908,24.2962,32.9625,
