t_offset_s,vibration_g,current_a,pressure_bar,temp_motor_c,temp_fluid_c,flow_lpm,label
0,0.027,1.0155,0.3826,72.957,25.6198,31.001,
1,0.0268,1.0204,0.0547,72.8664,25.6185,31.999,
2,0.0266,0.7338,0.0547,72.8498,25.6157,31.001,
3,0.0272,1.0733,0.3826,72.7915,25.6115,31.999,
4,0.0267,1.1069,0.0547,72.9818,25.6171,31.001,
5,0.0271,1.1733,0.0547,72.8028,25.6267,31.999,
6,0.0266,1.5199,0.3826,72.8042,25.6244,31.001,
7,0.027,0.6815,0.3826,72.7022,25.612,31.999,
8,0.027,1.102,0.0547,72.8416,25.6197,31.0,
9,0.0266,1.143,0.0547,72.576,25.6161,31.0,
10,0.0267,0.7038,0.0547,72.846,25.6276,31.001,
11,0.0268,0.7561,0.3826,72.5263,25.6248,31.999,
12,0.0271,1.2969,0.0547,72.7941,25.6226,31.001,
13,0.027,1.1416,0.0547,72.5881,25.6229,31.0,
14,0.0266,1.121,0.0547,72.4734,25.6185,31.0,
15,0.0272,1.1439,0.3826,72.8228,25.617,31.0,
16,0.0267,0.7338,0.0547,72.5882,25.6221,31.0,
17,0.0275,0.7234,0.3826,72.5915,25.6197,31.0,
18,0.0267,1.0915,0.0547,72.7917,25.6157,31.001,
19,0.0271,0.843,0.7106,72.562,25.6187,31.999,
20,0.027,1.1058,0.3826,72.688,25.6091,31.0,
21,0.0265,1.3579,0.0547,72.6649,25.6099,31.001,
22,0.0271,0.7264,-0.6011,72.5257,25.6078,31.999,
23,0.0265,0.7899,0.0547,72.6681,25.6054,31.0,
24,0.0274,0.8139,0.3826,72.6057,25.6226,31.001,
25,0.0271,0.8372,0.0547,72.6349,25.6142,31.9981,
26,0.0273,1.1216,0.0547,72.5877,25.6096,30.001,
27,0.027,0.7271,0.0547,72.7347,25.6067,31.001,
28,0.0271,1.1979,0.0547,72.679,25.6085,31.999,
29,0.0274,1.1871,0.0547,72.6497,25.6136,31.001,
30,0.0273,1.1935,0.0547,72.6997,25.6136,31.999,
31,0.0268,0.5893,0.0547,72.4663,25.619,31.0,
32,0.0274,0.609,0.0547,72.5949,25.6116,31.0,
33,0.0268,0.4802,0.0547,72.5642,25.6152,31.0,
34,0.0276,1.2919,0.0547,72.6563,25.6086,31.001,
35,0.0268,1.0478,0.0547,72.4645,25.6149,31.999,
36,0.0269,0.7552,0.0547,72.5199,25.6213,31.001,
37,0.0274,0.6372,0.0547,72.6015,25.6122,31.999,
38,0.0273,0.5709,-0.6011,72.5079,25.6108,31.001,
39,0.0274,0.5938,0.0547,72.729,25.6185,31.999,
40,0.0271,0.6213,0.0547,72.5768,25.6185,31.0,
41,0.0271,0.754,0.3826,72.7336,25.6218,31.001,
42,0.0273,1.0938,0.0547,72.8102,25.6232,32.0,
43,0.0275,0.5847,0.0547,72.573,25.6138,31.999,
